,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
109,flowertopia,pedro-s-sweet-sativa-pre-roll-2-pack-0-7g,Pedro's Sweet Sativa Pre-Roll 2-pack | 0.7g,Color Cannabis,9.14,False,,,,Pre-Rolls,
110,flowertopia,pink-kush-81105,Pink Kush,Pure Sunfarms,22.07,False,,,,Flower,
111,flowertopia,pink-kush-pre-roll-10-pack-3g,Pink Kush Pre-Roll 10-pack | 3g,Pure Sunfarms,20,False,,,,Pre-Rolls,
112,flowertopia,pink-kush-pre-roll-3-pack-1-5g,Pink Kush Pre-Roll 3-pack | 1.5g,Pure Sunfarms,11.5,False,,,,Pre-Rolls,
113,flowertopia,piranha-3-piece-grinder-w-storage-2-0-black,"Piranha 3-Piece Grinder w/ Storage 2.0"" Black",Humble and Fume,19.99,False,,,,Accessories,
114,flowertopia,piranha-3-piece-grinder-w-storage-2-0-light-blue,"Piranha 3-Piece Grinder w/ Storage 2.0"" Light Blue",Humble and Fume,19.99,False,,,,Accessories,
115,flowertopia,piranha-3-piece-grinder-w-storage-2-0-rasta,"Piranha 3-Piece Grinder w/ Storage 2.0"" Rasta",Humble and Fume,19.49,False,,,,Accessories,
116,flowertopia,piranha-3-piece-grinder-w-storage-2-0-red,"Piranha 3-Piece Grinder w/ Storage 2.0"" Red",Humble and Fume,19.49,False,,,,Accessories,
117,flowertopia,piranha-3-piece-grinder-w-storage-2-2-lime-green,"Piranha 3-Piece Grinder w/Storage 2.2"" Lime Green",Humble and Fume,20.99,False,,,,Accessories,
118,flowertopia,piranha-unbleached-organic-hemp-cones,Piranha Unbleached Organic Hemp Cones,Humble and Fume,2.45,False,,,,Accessories,
119,flowertopia,prenup,PreNup,Sugarbud,40,False,,,,Flower,
120,flowertopia,pulsar-6-fixed-bowl-beaker-fixed-bowl-downstem-asst-colours,"Pulsar 6"" Fixed Bowl Beaker /Fixed Bowl & Downstem, Asst. Colours",Humble and Fume,39.99,False,,,,Accessories,
121,flowertopia,pure-sun-cbd,Pure Sun CBD,Pure Sunfarms,21.49,False,,,,Flower,
122,flowertopia,raw-classic-pre-rolled-peacemaker-cones,RAW Classic Pre-Rolled Peacemaker Cones,One Wholesale,5.91,False,,,,Accessories,
123,flowertopia,raw-large-rolling-tray-rawsta,RAW Large Rolling Tray - Rawsta,One Wholesale,8.49,False,,,,Accessories,
124,flowertopia,raw-large-tray-authentic,RAW Large Tray - Authentic,One Wholesale,8.49,False,,,,Accessories,
125,flowertopia,raspberry-cheesecake-1-1-cookies-2-pack,Raspberry Cheesecake 1:1 Cookies | 2-Pack,Olli,9.4,False,,,,Edible,
126,flowertopia,raw-black-king-slim-rolling-paper-61494,Raw Black King Slim Rolling Paper,One Wholesale,3.5,False,,,,Accessories,
127,flowertopia,raw-black-natural-unrefined-rolling-paper-1-1-4,"Raw Black Natural Unrefined Rolling Paper - 1 1/4""",One Wholesale,2.02,False,,,,Accessories,
128,flowertopia,raw-black-organic-hemp-rolling-paper-1-1-4,"Raw Black Organic Hemp Rolling Paper - 1 1/4""",One Wholesale,2.49,False,,,,Accessories,
129,flowertopia,raw-rolling-machine-79-mm,Raw Rolling Machine 79 mm,One Wholesale,6,False,,,,Accessories,
130,flowertopia,real-fruit-pomegranate-1-1-soft-chews-2-pack,Real Fruit Pomegranate 1:1 Soft Chews | 2-Pack,Wyld,6.99,False,,,,Edible,
131,flowertopia,real-fruit-raspberry-soft-chew-2-pack,Real Fruit Raspberry Soft Chew | 2-Pack,Wyld,6.99,False,,,,Edible,
132,flowertopia,redees-cold-creek-kush-pre-roll-10-pack-4g,Redees Cold Creek Kush Pre-Roll 10-pack | 4g,Redecan,22.99,False,,,,Pre-Rolls,
133,flowertopia,reign-drops-30-0-30ml,Reign Drops 30:0 | 30ml,Redecan,33.14,False,26.51,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 20, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '62470e9a0211197a6cefb2b6', 'specialName': 'Self Care Saturday', 'specialRestrictions': {'concentrates-oil': {'discountType': 'percentDiscount'}, 'capsules-tablets': {'discountType': 'percentDiscount'}, 'Topicals': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Concentrate,
134,flowertopia,rez-block-concentrate-15ml,Rez Block Concentrate 15ml,Humble and Fume,14.99,False,,,,Accessories,
