,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
64,back-forty-wedding-pie,Back Forty - Wedding Pie,Back Forty,"[21.95, 122.99]",False,[],,,Flower,
65,back-forty-40s-animal-mints-pre-roll-10x0-35g,Back Forty 40s - Animal Mints Pre-Roll 10x0.35g,Back Forty,[18.95],False,[],,,Pre-Rolls,
66,back-forty-40s-wedding-pie-pre-roll-10x0-35g,Back Forty 40s - Wedding Pie Pre-Roll 10x0.35g,Back Forty,[18.95],False,[],,,Pre-Rolls,
67,bhang-cbd-milk-chocolate,Bhang - CBD Milk Chocolate,Bhang,[4.75],False,[],,,Edible,
68,bhang-caramel-chocolate-1-1-1x10g,Bhang - Caramel Chocolate 1:1 1x10g,Bhang,[4.99],False,[],,,Edible,
69,bhang-ice-milk-chocolate-1x10g,Bhang - Ice Milk Chocolate 1x10g,Bhang,[4.75],False,[],,,Edible,
70,bhang-thc-caramel-mocha-milk-chocolate-1x10g,Bhang - THC Caramel Mocha Milk Chocolate 1x10g,Bhang,[4.75],False,[],,,Edible,
71,bhang-thc-cookies-and-cream-white-chocolate-1x10g,Bhang - THC Cookies and Cream White Chocolate 1x10g,Bhang,[4.75],False,[],,,Edible,
72,bhang-thc-dark-chocolate-bar-1x10g,Bhang - THC Dark Chocolate Bar  1x10g,Bhang,[4.75],False,[],,,Edible,
73,bhang-thc-milk-chocolate-bar-1x10g,Bhang - THC Milk Chocolate Bar 1x10g,Bhang,[4.75],False,[],,,Edible,
