,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
201,toke,pink-lemonade-cartridge-1g,Pink Lemonade Cartridge | 1g,Divvy,39.83,False,,,,Vaporizers,
202,toke,pink-star-fruit-thca-live-diamonds-1g,Pink Star Fruit THCA Live Diamonds | 1g,RAD,39.83,False,,,,Concentrate,
203,toke,pink-wedding-kush-cartridge-1g,Pink Wedding Kush Cartridge | 1g,Original Stash,35.4,False,,,,Vaporizers,
204,toke,platinum-grape,Platinum Grape,Organnicraft,39.83,False,,,,Flower,
205,toke,pomegranate-4-1-cbd-thc-gummies,Pomegranate 4:1 CBD/THC Gummies,Pearls,6.19,False,,,,Edible,
206,toke,pop-cone-pre-rolled-cones-3-ks-cones-pack-strawberry-jam,Pop Cone Pre Rolled Cones  - 3 KS Cones/pack - Strawberry Jam,Smoke Arsenal Inc.,4.43,False,,,,Accessories,
207,toke,pre-rolled-tips-21-pack,Pre-Rolled Tips | 21-Pack,RAW,1.76,False,,,,Accessories,
208,toke,puff-puff-pass-90mm-4-piece-grinder,Puff Puff Pass 90mm 4-Piece Grinder,Smoke Arsenal Inc.,35.4,False,,,,Accessories,
209,toke,pumpkin-spice-latte-chocolate,Pumpkin Spice Latte Chocolate,Wabi Sabi,8.85,False,,,,Edible,
210,toke,pure-hemp-classic-king-size-rolling-papers,Pure Hemp Classic King Size Rolling Papers,Smoke Arsenal Inc.,2.65,False,,,,Accessories,
211,toke,purple-aya-pre-roll-7-pack-3-5g,Purple Aya Pre-Roll 7-Pack | 3.5g,1Spliff,23.01,False,,,,Pre-Rolls,
212,toke,quick-cbg-rise-shine-clementine-1-1,Quick CBG Rise & Shine Clementine 1:1,Wana,7.96,False,,,,Edible,
213,toke,quick-island-punch-indica-gummies,Quick Island Punch Indica Gummies,Wana,7.96,False,,,,Edible,
214,toke,quick-midnight-berry-indica-gummies,Quick Midnight Berry Indica Gummies,Wana,8.85,False,,,,Edible,
215,toke,quick-orchard-peach-sativa-gummies,Quick Orchard Peach Sativa Gummies,Wana,7.96,False,,,,Edible,
216,toke,quick-pineapple-coconut-indica-gummies,Quick Pineapple Coconut Indica Gummies,Wana,7.96,False,,,,Edible,
